ᚨ,ᚪ,ᚩ,,,,,,,,,,,ᚭ,ᚯ,
ᛐ,ᛂ,ᛑ,,ᚶ,ᚴ,ᚵ,ᚳ,,,,,ᛇ,,ᛉ,ᛣ
ᛦ,ᛘ,ᛯ,,,,,,,,,,,,,
ᛜ,ᛟ,ᛝ,,,,,,,,,,,,,
ᚸ,ᛃ,ᛄ,ᛥ,,,,,,,,,,,,
ᛠ,ᛀ,ᛢ,,,,,,,,,,,,,
⟁,✡,Ⲵ,⸖,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,𐠤
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,ᛗ,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,ᛳ,ᛙ,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
𐧹,𐧺,𐧻,𐧼,𐧽,𐧾,,,,,,,,,,
𐄇,𐄈,𐄉,𐄊,𐄋,𐄌,𐄍,𐄎,𐄏,,,,,,,
𐄐,𐄑,𐄒,𐄓,𐄔,𐄕,𐄖,𐄗,𐄘,𐄙,𐄚,𐄛,𐄜,𐄝,𐄞,𐄟
𐄠,𐄡,𐄢,𐄣,𐄤,𐄥,𐄦,𐄧,𐄨,𐄩,𐄪,𐄫,𐄬,𐄭,𐄮,𐄯
𐄰,𐄱,𐄲,𐄳,,,,,,,,,,,,
𐬺,𐬻,𐬼,𐬽,𐬾,𐬿,,,,,,,,,,
𐦓,𐦌,𐧒,𐧓,𐧔,𐧕,,,,,,,,,,
𐎚,𐎀,𐎐,𐎔,𐎅,𐎋,𐎆,𐎗,,,,,,,,
𐎂,𐎇,𐎃,𐎕,𐎍,𐎊,,,,,,,,,,
