󿆁,󿆂,󿆃,󿆄,󿆅,󿆆,󿆇,󿆈,,,,
󿆑,󿆒,󿆓,󿆔,󿆕,󿆖,󿆗,󿆘,,,,
󿆡,󿆢,󿆣,󿆤,󿆥,󿆦,󿆧,󿆨,,,,
󿆱,󿆲,󿆳,󿆴,󿆵,󿆶,󿆷,󿆸,,,,
󿇁,󿇂,󿇃,󿇄,󿇅,󿇆,󿇇,󿇈,,,,
󼀁,󼀂,󼀃,󼀄,󼀅,󼀆,󼀇,󼀈,,,,
,,,,,,,,,,,
,,,,,,,,,,,
󾾡,󾾢,󾾣,󾾤,󾾥,󾾦,󾾧,󾾨,,,,
󾾱,󾾲,󾾳,󾾴,󾾵,󾾶,󾾷,󾾸,,,,
󾿁,󾿂,󾿃,󾿄,󾿅,󾿆,󾿇,󾿈,,,,
󾿑,󾿒,󾿓,󾿔,󾿕,󾿖,󾿗,󾿘,,,,
,,,,,,,,,,,
󾯡,󾯢,󾯣,󾯤,󾯥,󾯦,󾯧,󾯨,,,,
󾯱,󾯲,󾯳,󾯴,󾯵,󾯶,󾯷,󾯸,,,,
󾰁,󾰂,󾰃,󾰄,󾰅,󾰆,󾰇,󾰈,,,,
󾰑,󾰒,󾰓,󾰔,󾰕,󾰖,󾰗,󾰘,,,,
󾰡,󾰢,󾰣,󾰤,󾰥,󾰦,󾰧,󾰨,,,,
,,,,,,,,,,,
󽂁,󽂑,󽂡,󼨱,󼨡,󼩁,󼪁,󼪑,󼪡,󼧁,󼧑,󼧡
,,,,,,,,,,,
,,,,,,,,,,,
󼿁,󼿑,󼿡,󽀡,󽀱,󽁁,,,,,,
,,,,,,,,,,,
󹁢,󹁣,󹁤,󹁥,󹁦,󹁧,,,,,,
󹂒,󹂓,󹂔,󹂕,󹂖,󹂗,,,,,,
󹃂,󹃃,󹃄,󹃅,󹃆,󹃇,,,,,,
󹃲,󹃳,󹃴,󹃵,󹃶,󹃷,,,,,,
󹄢,󹄣,󹄤,󹄥,󹄦,󹄧,,,,,,
󹂢,󹂣,󹂤,󹂥,󹂦,󹂧,,,,,,
󹄂,󹄃,󹄄,󹄅,󹄆,󹄇,,,,,,
󹄲,󹄳,󹄴,󹄵,󹄶,󹄷,,,,,,
󹂲,󹂳,󹂴,󹂵,󹂶,󹂷,,,,,,
󹄒,󹄓,󹄔,󹄕,󹄖,󹄗,,,,,,
󹅂,󹅃,󹅄,󹅅,󹅆,󹅇,,,,,,
󶮡,󶮢,󶮣,󶮤,󶮥,󶮦,󶮧,,,,,
󶮱,󶮲,󶮳,󶮴,󶮵,󶮶,󶮷,,,,,
󶯁,󶯂,󶯃,󶯄,󶯅,󶯆,󶯇,,,,,
,󶯑,󶯒,󶯓,󶯔,󶯕,󶯖,,,,,
󶧁,󶧂,󶧃,󶧄,󶧅,󶧆,󶧇,,,,,
󶧑,󶧒,󶧓,󶧔,󶧕,󶧖,󶧗,,,,,
,󶧢,󶧣,󶧤,󶧥,󶧦,󶧧,,,,,
,,󶧲,󶧳,󶧴,󶧵,󶧶,,,,,
,,,,,,,,,,,
󰀐,󰀁,󰀂,󰀃,󰀄,󰀅,󰀆,󰀇,,,,
